IDTNS;B1_1;B1_2;C1_1;C1_2;C1_3;D1_1;D1_2;A2_1;A2_2;A2_3;A3;A4;E2;E4;F2_1;F2_2;F2_3;F4_1;F4_2;F4_3
10002;0;0;8;0;4;8;0;0;10;5;7; ;3;0; ; ; ; ; ; 
10008;5;5;4;4;4;3;4;4;5;5;5; ; ;5; ; ; ;5;5;5
10015;8;9;8;7;8;10;10;7;8;9;8;7; ; ; ; ; ; ; ; 
10017;8;7;8;7;7;9;9;9;9;8;9; ; ; ; ; ; ;9;9;9
10061;0;0;3;0;0;0;0;3;5;3;3; ;0;0; ; ; ;8;8;3
10071;8;8;7;8;5;6;5;5;4;6;5;5; ; ; ; ; ; ; ; 
10128;0;8;10;10;10;10;0; ; ; ; ; ; ; ; ; ; ; ; ; 
10131;7;8;8;7;5;7;8;7;7;7;8;7;7; ; ; ; ;7;7;7
10136;10;3;3;0;8;10;10; ; ; ; ; ; ;10; ; ; ; ; ; 
10148;10;10;6;6;7;10;10;10;10;10;10;6;10; ; ; ; ; ; ; 
10184;7;7;7;6;6;10;7;5;6;7;5; ; ; ; ; ; ;5;5;5
10209;5;8;4;4;3;10;1;5;6;8;8; ; ; ; ; ; ;8;8;8
10288;7;5;8;7;8;7;7; ; ; ; ; ; ; ; ; ; ; ; ; 
10305;5;5;2;1;2;6;5;5;5;4;4;2; ;5;5;5;5;5;5;4
10310;4;6;4;4;8;8;10;9;8;8;10;9; ; ; ; ; ; ; ; 
10314;10;9;6;7;6;9;10;8;10;9;8;10; ; ; ; ; ; ; ; 
10320;5;4;4;3;4;7;7;5;5;7;6;4; ; ; ; ; ; ; ; 
10321;9;7;10;4;4;10;10;5;5;7;7; ; ; ; ; ; ;10;10;8
10339;7;5;4;4;5;3;4;4;3;5;5; ; ;6; ; ; ;5;5;4
10351;10;10;9;9;8;8;8;5;8;8;8;8; ; ; ; ; ; ; ; 
10354;10;10;8;10;10;10;10; ; ; ; ; ; ; ; ; ; ; ; ; 
10389;10;6;7;5;8;10;7; ; ; ; ; ; ; ; ; ; ; ; ; 
10399;9;7;10;8;7;8;7;8;8;9;8; ; ;5; ; ; ; ; ; 
10404;10;10;10;9;9;10;10; ; ; ; ;10; ; ;9;10;10; ; ; 
10415;0;0;0;0;0;0;0;10;0;10;10;0; ;0; ; ; ;10;10;0
10425;4;5;5;4;3;8;8; ; ; ; ; ;6; ;8;7;8; ; ; 
10435;0;10;0;0;0;0;0;10;0;0;0;0; ; ;0;0;0; ; ; 
10443;10;10;10;8;10;10;10;10;10;10;10;10; ;10; ; ; ;10;10;10
10446;8;8;7;7;7;10;10; ; ; ; ; ; ; ; ; ; ; ; ; 
10466;8;4;4;4;5;6;9;7;8;8;7;8; ; ; ; ; ; ; ; 
10481;7;7;9;8;5;9;8; ; ; ; ; ; ; ; ; ; ;8;10;9
10491;7;5;8;8;8;6;6;5;10;6;7;6; ; ; ; ; ; ; ; 
10504;4;0;5;0;0;6;7; ; ; ; ; ;6;0; ; ; ; ; ; 
10518;9;8;6;7;6;5;7;8;7;8;9; ; ; ; ; ; ;7;10;8
10522;10;8;7;9;8;10;10;8;10;9;10; ;9; ; ; ; ;8;10;6
10548;8;8;9;7;9;9;9;9;10;9;9; ; ;9; ; ; ;9;8;9
10565;7;5;8;5;7;5;4;4;6;6;4;6;5; ; ; ; ;6;5;7
10569;10;10;10;8;10;8;10;6;10;8;10;10; ;8; ; ; ; ; ; 
10580;8;7;8;9;7; ; ; ; ; ; ;7; ;8; ; ; ;8;8;8
10590;6;5;0;0;0;5;4;3;6;0;5;0; ; ; ; ; ;0;3;0
10625;7;7;10;5;5;5;5; ; ; ; ;9; ;10; ; ; ;10;10;10
10629;7;7;5;5;7;6;6;4;7;6;7; ; ;6;9;8;8;9;8;8
10635;10;9;8;8;9;9;8;6;10;7;8; ; ; ; ; ; ; ; ; 
10644;9;7;10;10;9;10;10;8;10;8;10;9; ;10; ; ; ; ; ; 
10653;8;5;6;4;5; ; ;7;3;8;6; ; ; ; ; ; ;7;10;4
10661;9;8;7;6;8;8;8;8;8;9;8;10; ; ; ; ; ; ; ; 
10670;9;9;8;8;9;9;10;5;10;9;9; ; ;9; ; ; ; ; ; 
10675;9;10;10;9;8;9;10;8;10;9;10;10; ; ; ; ; ; ; ; 
